# Angstrom [air],  flux [abs.cor.cont.sub+1]
       6555.8227       1.0913508
       6555.8401       1.0921252
       6555.8575       1.0929755
       6555.8749       1.0939704
       6555.8923       1.0951497
       6555.9097       1.0964978
       6555.9271       1.0979324
       6555.9446       1.0993129
       6555.9620       1.1004671
       6555.9794       1.1012315
       6555.9968       1.1014937
       6556.0142       1.1012256
       6556.0316       1.1004991
       6556.0490       1.0994777
       6556.0664       1.0983839
       6556.0838       1.0974495
       6556.1013       1.0968567
       6556.1187       1.0966849
       6556.1361       1.0968783
       6556.1535       1.0972507
       6556.1709       1.0975309
       6556.1883       1.0974430
       6556.2057       1.0967944
       6556.2231       1.0955394
       6556.2405       1.0937885
       6556.2580       1.0917593
       6556.2754       1.0896882
       6556.2928       1.0877462
       6556.3102       1.0859961
       6556.3276       1.0844114
       6556.3450       1.0829409
       6556.3624       1.0815811
       6556.3798       1.0804160
       6556.3972       1.0796050
       6556.4147       1.0793265
       6556.4321       1.0797112
       6556.4495       1.0807963
       6556.4669       1.0825176
       6556.4843       1.0847375
       6556.5017       1.0872769
       6556.5191       1.0899593
       6556.5365       1.0926205
       6556.5539       1.0951075
       6556.5714       1.0972667
       6556.5888       1.0989355
       6556.6062       1.0999413
       6556.6236       1.1001141
       6556.6410       1.0993117
       6556.6584       1.0974542
       6556.6758       1.0945640
       6556.6932       1.0907981
       6556.7106       1.0864620
       6556.7281       1.0819918
       6556.7455       1.0778968
       6556.7629       1.0746696
       6556.7803       1.0726829
       6556.7977       1.0721043
       6556.8151       1.0728575
       6556.8325       1.0746465
       6556.8499       1.0770385
       6556.8673       1.0795780
       6556.8848       1.0818939
       6556.9022       1.0837661
       6556.9196       1.0851363
       6556.9370       1.0860677
       6556.9544       1.0866835
       6556.9718       1.0871095
       6556.9892       1.0874452
       6557.0066       1.0877622
       6557.0240       1.0881201
       6557.0415       1.0885799
       6557.0589       1.0892056
       6557.0763       1.0900520
       6557.0937       1.0911493
       6557.1111       1.0924948
       6557.1285       1.0940580
       6557.1459       1.0957915
       6557.1633       1.0976453
       6557.1807       1.0995730
       6557.1982       1.1015272
       6557.2156       1.1034525
       6557.2330       1.1052808
       6557.2504       1.1069331
       6557.2678       1.1083266
       6557.2852       1.1093837
       6557.3026       1.1100373
       6557.3200       1.1102373
       6557.3374       1.1099589
       6557.3549       1.1092169
       6557.3723       1.1080777
       6557.3897       1.1066601
       6557.4071       1.1051181
       6557.4245       1.1036091
       6557.4419       1.1022630
       6557.4593       1.1011687
       6557.4767       1.1003816
       6557.4941       1.0999428
       6557.5116       1.0998907
       6557.5290       1.1002510
       6557.5464       1.1010084
       6557.5638       1.1020762
       6557.5812       1.1032831
       6557.5986       1.1043931
       6557.6160       1.1051539
       6557.6334       1.1053651
       6557.6508       1.1049438
       6557.6682       1.1039695
       6557.6857       1.1026905
       6557.7031       1.1014820
       6557.7205       1.1007596
       6557.7379       1.1008725
       6557.7553       1.1020091
       6557.7727       1.1041519
       6557.7901       1.1070938
       6557.8075       1.1105009
       6557.8249       1.1140215
       6557.8424       1.1173560
       6557.8598       1.1202967
       6557.8772       1.1227271
       6557.8946       1.1245952
       6557.9120       1.1258805
       6557.9294       1.1265681
       6557.9468       1.1266425
       6557.9642       1.1261002
       6557.9816       1.1249730
       6557.9991       1.1233486
       6558.0165       1.1213719
       6558.0339       1.1192226
       6558.0513       1.1170755
       6558.0687       1.1150616
       6558.0861       1.1132481
       6558.1035       1.1116465
       6558.1209       1.1102416
       6558.1383       1.1090288
       6558.1558       1.1080403
       6558.1732       1.1073502
       6558.1906       1.1070575
       6558.2080       1.1072554
       6558.2254       1.1079979
       6558.2428       1.1092786
       6558.2602       1.1110245
       6558.2776       1.1131059
       6558.2950       1.1153579
       6558.3125       1.1176052
       6558.3299       1.1196884
       6558.3473       1.1214899
       6558.3647       1.1229575
       6558.3821       1.1241231
       6558.3995       1.1251060
       6558.4169       1.1260931
       6558.4343       1.1272931
       6558.4517       1.1288665
       6558.4692       1.1308596
       6558.4866       1.1331682
       6558.5040       1.1355401
       6558.5214       1.1376216
       6558.5388       1.1390345
       6558.5562       1.1394637
       6558.5736       1.1387351
       6558.5910       1.1368668
       6558.6084       1.1340813
       6558.6259       1.1307698
       6558.6433       1.1274164
       6558.6607       1.1244975
       6558.6781       1.1223863
       6558.6955       1.1212911
       6558.7129       1.1212386
       6558.7303       1.1220990
       6558.7477       1.1236323
       6558.7651       1.1255377
       6558.7826       1.1274988
       6558.8000       1.1292266
       6558.8174       1.1305021
       6558.8348       1.1312132
       6558.8522       1.1313726
       6558.8696       1.1311066
       6558.8870       1.1306147
       6558.9044       1.1301158
       6558.9218       1.1297973
       6558.9393       1.1297840
       6558.9567       1.1301297
       6558.9741       1.1308286
       6558.9915       1.1318402
       6559.0089       1.1331215
       6559.0263       1.1346584
       6559.0437       1.1364864
       6559.0611       1.1386877
       6559.0785       1.1413591
       6559.0960       1.1445572
       6559.1134       1.1482410
       6559.1308       1.1522546
       6559.1482       1.1563467
       6559.1656       1.1602293
       6559.1830       1.1636470
       6559.2004       1.1664288
       6559.2178       1.1685060
       6559.2352       1.1698983
       6559.2527       1.1706839
       6559.2701       1.1709687
       6559.2875       1.1708642
       6559.3049       1.1704730
       6559.3223       1.1698769
       6559.3397       1.1691267
       6559.3571       1.1682362
       6559.3745       1.1671849
       6559.3919       1.1659346
       6559.4093       1.1644577
       6559.4268       1.1627667
       6559.4442       1.1609296
       6559.4616       1.1590594
       6559.4790       1.1572754
       6559.4964       1.1556509
       6559.5138       1.1541753
       6559.5312       1.1527526
       6559.5486       1.1512466
       6559.5660       1.1495552
       6559.5835       1.1476825
       6559.6009       1.1457729
       6559.6183       1.1440895
       6559.6357       1.1429426
       6559.6531       1.1425933
       6559.6705       1.1431698
       6559.6879       1.1446296
       6559.7053       1.1467792
       6559.7227       1.1493454
       6559.7402       1.1520645
       6559.7576       1.1547567
       6559.7750       1.1573505
       6559.7924       1.1598482
       6559.8098       1.1622633
       6559.8272       1.1645648
       6559.8446       1.1666601
       6559.8620       1.1684258
       6559.8794       1.1697658
       6559.8969       1.1706648
       6559.9143       1.1712043
       6559.9317       1.1715362
       6559.9491       1.1718309
       6559.9665       1.1722279
       6559.9839       1.1728127
       6560.0013       1.1736230
       6560.0187       1.1746732
       6560.0361       1.1759772
       6560.0536       1.1775610
       6560.0710       1.1794616
       6560.0884       1.1817191
       6560.1058       1.1843648
       6560.1232       1.1874072
       6560.1406       1.1908165
       6560.1580       1.1945126
       6560.1754       1.1983649
